### ТАБЛИЦА: store ###
city,store_location,store_name,store_number,store_id,address,zip_code,county_id
HAMBURG,POINT(-95.654604 40.605217),CASEY'S GENERAL STORE #1330 / HAMBURG,4573,69,1211 WASHINGTON ST,51640.0,33
STORM LAKE,POINT(-95.186938 42.644563),MIDTOWN LIQUOR,5028,70,1100 E 5TH ST,50588.0,22
ALBURNETT,POINT(-91.618537 42.148),LEFTY'S CONVENIENCE STORE INC,5269,71,105 S MAIN AVE,52202.0,12
CARROLL,POINT(-94.893501 42.081312),WAL-MART 1787 / CARROLL,4001,72,2014 KITTY HAWK AVE,51401.0,34
ALBION,POINT(-92.990038 42.110344),CASEY'S GENERAL STORE # 2543/ ALBION,5378,73,201 S MAIN ST.,50005.0,18
COUNCIL BLUFFS,POINT(-95.860337 41.219703),CASEY'S GENERAL STORE #2284 / COUNCIL BLUFFS,4738,74,"1030, VETERAN MEMORIAL HWY",51501.0,10
DES MOINES,POINT(-93.64492 41.546838),CASH SAVER  /  FLEUR,5129,75,4121 FLEUR DR,50321.0,1
SIOUX CITY,POINT(-96.419074 42.503495),SAM'S MINI MART / SIOUX CITY,4588,76,923 W 7TH ST,51103.0,8
OSAGE,POINT(-92.817696 43.28407),CASEY'S GENERAL STORE # 1799/ OSAGE,5393,77,309 MAIN ST.,50461.0,35
MARSHALLTOWN,POINT(-92.896215 42.049237),CASEY'S GENERAL STORE #3228 / MARSHALLTOWN,4828,78,916 E MAIN ST,50158.0,18
AMES,POINT(-93.585891 42.009586),KUM & GO #227 / AMES,4674,79,2108 ISAAC NEWTON DR,50010.0,36
EXIRA,POINT(-94.879847 41.591142),CASEY'S GENERAL STORE #2563 / EXIRA,4523,80,312 W WASHINGTON ST,50076.0,37
CEDAR RAPIDS,POINT(-91.650755 41.988967),HY-VEE FOOD STORE #4 / CEDAR RAPIDS,2568,81,1556 FIRST AVENUE NE,52402.0,12
WAVERLY,POINT(-92.478899 42.700321),WAL-MART 1005 / WAVERLY,3889,82,700  29 ST SW,50677.0,4
OTTUMWA,POINT(-92.418553 41.009435),YESWAY STORE # 10013/ OTTUMWA,5300,83,534 CHURCH ST,52501.0,39
VINTON,POINT(-92.037532 42.168297),EHLINGER'S VINTON EXPRESS,5726,84,310 K AVENUE SOUTH,52349.0,40
WATERLOO,POINT(-92.330801 42.460238),WAL-MART 1496 / WATERLOO,3663,85,1334 FLAMMANG DR,50702.0,9
LAMONI,POINT(-93.92909 40.62366),CASEY'S GENERAL STORE #2529 / LAMONI,4782,86,406 E MAIN ST,50140.0,41
BURLINGTON,POINT(-91.110752 40.801889),HY-VEE FOOD STORE #1 / BURLINGTON,2507,87,939 ANGULAR,52601.0,2
IOWA CITY,POINT(-91.560034161 41.641961337),CASEY'S GENERAL STORE # 2781/ IOWA CITY,5445,88,1410 WILLOW CREEK DR.,52246.0,7
SLATER,POINT(-93.679675 41.877859),CASEY'S GENERAL STORE #2304 / SLATER,4575,89,200 6TH AVE,50244.0,36
MILFORD,POINT(-95.149955 43.331525),OKOBOJI AVENUE LIQUOR,3390,90,1610 OKOBOJI AVENUE,51351.0,26
MARION,POINT(-91.621476 42.033645),CASEY'S GENERAL STORE # 3562/ MARION,5350,91,680 LINDALE DR.,52302.0,12
WEBSTER CITY,POINT(-93.831461 42.469524),YESWAY STORE # 10021/ WEBSTER CITY,5296,92,1102 2ND ST,50595.0,42
EVANSDALE,POINT(-92.257902 42.469069),CASEY'S GENERAL STORE #3041 / ELK RUN HEIGHTS,5619,93,5202 LAFAYETTE RD,50707.0,9
CEDAR RAPIDS,POINT(-91.718042 41.949215),WAL-MART 2716 / CEDAR RAPIDS,3618,94,3601 29TH AVE SW,52404.0,12
WASHINGTON,POINT(-91.692985 41.301967),FAREWAY STORES #554 / WASHINGTON,4315,95,301 NORTH MARION AVE,52353.0,43
BOONE,POINT(-93.876107 42.063831),HY-VEE WINE AND SPIRITS / BOONE,2505,96,1111  8TH ST,50036.0,44
OTTUMWA,POINT(-92.432517 41.007272),RICHMOND & FERRY BP,5513,97,720 RICHMOND AVE,52501.0,39
CARROLL,POINT(-94.87861 42.075224),KIMMES CARROLL COUNTRY STORE 1 / CARROLL,6283,98,1511 US 71,51401.0,34
ALGONA,POINT(-94.235955 43.08091),HY-VEE WINE AND SPIRITS / ALGONA,2585,99,1502 HIGHWAY 169 N SUITE 1,50511.0,46
MADRID,POINT(-93.815365 41.87894),THE MARKET OF MADRID,3831,100,301 ANNEX RD,50156.0,44
RED OAK,POINT(-95.83539 41.279189),HY-VEE WINE AND SPIRITS / RED OAK,2518,101,1607 NORTH BROADWAY,51566.0,47
WALFORD,POINT(-91.828571 41.881821),GUPPY'S ON THE GO / WALFORD,5190,102,200 HWY 151 E,52351.0,12
