invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-60818000002,2023-07-31,9001,CEDAR RIDGE VINEYARDS (ET),1441 MARAK RD NW,SWISHER,52338,POINT(-91.677564118 41.831322653),,JOHNSON,1011200.0,STRAIGHT BOURBON WHISKIES,125,CEDAR RIDGE VINEYARDS LL,17207,BARREL PROOF BOURBON WHISKEY,6,750,23.0,34.5,24,828.0,18.0,4.75
INV-44657000007,2022-02-11,4334,FAREWAY STORES #114 / DUBUQUE,2050 JOHN F KENNEDY RD,DUBUQUE,52001.0,,31,DUBUQUE,1011200.0,STRAIGHT BOURBON WHISKIES,259,HEAVEN HILL BRANDS,17916,ELIJAH CRAIG,12,750,16.0,24.0,24,576.0,18.0,4.75
INV-27538200054,2020-05-28,3420,SAM'S CLUB 6344 / WINDSOR HEIGHTS,1101  73RD ST,WINDSOR HEIGHTS,50311.0,POINT(-93.718027 41.599172),77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,259.0,HEAVEN HILL BRANDS,17916,ELIJAH CRAIG,12,750,15.0,22.5,24,540.0,18.0,4.75
INV-35006500075,2021-03-15,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314.0,POINT(-93.613739 41.60572),77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,259.0,HEAVEN HILL BRANDS,17916,ELIJAH CRAIG,12,750,16.0,24.0,24,540.0,18.0,4.75
INV-58156200004,2023-05-05,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314.0,POINT(-93.6132860339999 41.6058349990001),,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,259,HEAVEN HILL BRANDS,17916,ELIJAH CRAIG,12,750,17.52,26.28,24,630.72,18.0,4.75
INV-50205000019,2022-08-10,2512,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240,POINT(-91.530439 41.642724),,JOHNSON,1011200.0,STRAIGHT BOURBON WHISKIES,259,HEAVEN HILL BRANDS,17916,ELIJAH CRAIG,12,750,16.5,24.75,24,594.0,18.0,4.75
INV-15651600006,2018-11-12,3790,WAL-MART 0784 / MT PLEASAN,1045 N GRAND AVE,MT PLEASANT,52641.0,POINT(-91.539034 40.978416),44,HENRY,1011200.0,STRAIGHT BOURBON WHISKIES,259.0,HEAVEN HILL BRANDS,17956,EVAN WILLIAMS STR BOURBON,12,750,7.74,11.61,24,278.64,18.0,4.75
INV-34497300134,2021-02-22,2512,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240.0,POINT(-91.530463 41.642764),52,JOHNSON,1011600.0,STRAIGHT RYE WHISKIES,259.0,HEAVEN HILL BRANDS,18096,EVAN WILLIAMS 1783,12,750,10.99,16.49,24,395.76,18.0,4.75
INV-52601000052,2022-10-31,4781,CASEY'S GENERAL STORE #3079 / EARLY,"2245, US HWY 71",EARLY,50535.0,POINT(-95.14876 42.47362),,SAC,1011200,STRAIGHT BOURBON WHISKIES,259,HEAVEN HILL BRANDS,18116,EVAN WILLIAMS BLACK PET,12,750,8.5,12.75,24,306.0,18.0,4.75
INV-30226000034,2020-09-15,2666,HY-VEE FOOD STORE #2 / STATE ANKENY,2510 SW STATE ST,ANKENY,50023.0,POINT(-93.621824 41.705188),77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,184.0,FOUR ROSES DISTILLERY,18348,FOUR ROSES SMALL BATCH,6,750,16.17,24.26,24,582.24,18.0,4.75
INV-37698600076,2021-06-22,2665,HY-VEE / WAUKEE,1005 E HICKMAN RD,WAUKEE,50263.0,POINT(-93.854477 41.615059),25,DALLAS,1011200.0,STRAIGHT BOURBON WHISKIES,184,FOUR ROSES DISTILLERY,18348,FOUR ROSES SMALL BATCH,6,750,17.5,26.25,24,630.0,18.0,4.75
INV-28565500015,2020-07-08,3773,BENZ DISTRIBUTING,501 7TH AVE SE,CEDAR RAPIDS,52401,POINT(-91.659875 41.97574),57,LINN,1011300.0,SINGLE BARREL BOURBON WHISKIES,184,FOUR ROSES DISTILLERY,18350,FOUR ROSES SINGLE BARREL,6,750,21.17,31.76,24,762.24,18.0,4.75
INV-33794900002,2021-01-26,2643,HY-VEE WINE AND SPIRITS / WATERLOO,2126 KIMBALL AVE,WATERLOO,50701.0,,7,BLACK HAWK,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,JIM BEAM BRANDS,19026,JIM BEAM BLACK,12,750,13.5,20.25,24,486.0,18.0,4.75
INV-55033100005,2023-01-17,5745,CASEY'S GENERAL STORE #3292,1906 3RD AVE SE,INDEPENDENCE,50644,POINT(-91.89032 42.45416),,BUCHANAN,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19064,JIM BEAM,24,375,5.6,8.4,48,403.2,18.0,4.75
INV-39918600020,2021-09-09,4161,FAREWAY STORES #950 / IOWA CITY,2530 WESTWINDS DR,IOWA CITY,52246.0,POINT(-91.575636 41.650842),52,JOHNSON,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19066,JIM BEAM,12,750,11.0,16.5,24,378.0,18.0,4.75
INV-27543600087,2020-05-28,3443,SUPER SAVER IV,1141 N BROADWAY,COUNCIL BLUFFS,51503.0,POINT(-95.836515 41.270824),78,POTTAWATTAMIE,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,JIM BEAM BRANDS,19066,JIM BEAM,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-59831800014,2023-06-28,10097,CASEY'S #6127 / COUNCIL BLUFFS,2711 SOUTH 24TH STREET,COUNCIL BLUFFS,51501.0,POINT(-95.878434012 41.234538984),,POTTAWATTAMIE,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19066,JIM BEAM,12,750,11.0,16.5,24,396.0,18.0,4.75
INV-46617100120,2022-04-19,2603,HY-VEE WINE AND SPIRITS / BETTENDORF,2890 DEVILS GLEN ROAD,BETTENDORF,52722,POINT(-90.483753 41.552389),82,SCOTT,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19066,JIM BEAM,12,750,11.0,16.5,24,396.0,18.0,4.75
INV-25094600019,2020-02-07,5077,WAL-MART 3150 / COUNCIL BLUFFS,1800 N 16TH ST,COUNCIL BLUFFS,51501,POINT(-95.867459 41.27737),78,POTTAWATTAMIE,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19066,JIM BEAM,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-22088200083,2019-09-24,2665,HY-VEE / WAUKEE,1005 E HICKMAN RD,WAUKEE,50263,POINT(-93.854477 41.615059),25,DALLAS,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,JIM BEAM BRANDS,19066,JIM BEAM,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-22387800016,2019-10-08,2650,HY-VEE WINE AND SPIRITS / HARLAN,1808 23RD ST,HARLAN,51537,POINT(-95.339881 41.650658),83,SHELBY,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,JIM BEAM BRANDS,19066,JIM BEAM,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-60034500009,2023-07-06,2517,HY-VEE FOOD STORE #1 (1449) / NEWTON,1501 FIRST AVENUE EAST,NEWTON,50208,POINT(-93.033984961 41.696758993),,JASPER,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19066,JIM BEAM,12,750,11.0,16.5,24,396.0,18.0,4.75
INV-58459800005,2023-05-16,2666,HY-VEE FOOD STORE #2 / STATE ANKENY,2510 SW STATE ST,ANKENY,50023.0,POINT(-93.623933985 41.705033985),,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19096,JIM BEAM PET,12,750,11.0,16.5,24,396.0,18.0,4.75
INV-46238300024,2022-04-06,2620,HY-VEE / WINDSOR HEIGHTS,7101 UNIVERSITY AVE,WINDSOR HEIGHTS,50311,,77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19096,JIM BEAM PET,12,750,11.0,16.5,24,396.0,18.0,4.75
INV-16624200010,2018-12-28,2595,HY-VEE WINE AND SPIRITS / DENISON,"1620  4TH AVE, SOUTH",DENISON,51442.0,POINT(-95.348601 42.012395),24,CRAWFORD,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,JIM BEAM BRANDS,19096,JIM BEAM PET,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-34873200088,2021-03-09,2651,HY-VEE / WAVERLY,1311 4 STREET SW,WAVERLY,50677.0,POINT(-92.475403 42.712263),9,BREMER,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,JIM BEAM BRANDS,19096,JIM BEAM PET,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-58104600026,2023-05-03,2675,HY-VEE #2 / CORALVILLE,3285 CROSSPARK RD,CORALVILLE,52241.0,POINT(-91.604094893 41.7221522200001),,JOHNSON,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19096,JIM BEAM PET,12,750,11.0,16.5,24,396.0,18.0,4.75
INV-60374400015,2023-07-17,2675,HY-VEE #2 / CORALVILLE,3285 CROSSPARK RD,CORALVILLE,52241,POINT(-91.604094893 41.72215222),,JOHNSON,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19096,JIM BEAM PET,12,750,11.0,16.5,24,396.0,18.0,4.75
INV-37500500041,2021-06-15,2666,HY-VEE FOOD STORE #2 / STATE ANKENY,2510 SW STATE ST,ANKENY,50023.0,POINT(-93.621824 41.705188),77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19096,JIM BEAM PET,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-19934200021,2019-06-11,4200,FAREWAY STORES #019 / SIOUX CITY,4016 INDIAN HILLS DR,SIOUX CITY,51108,POINT(-96.373252 42.538578),97,WOODBURY,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19476,MAKERS MARK,12,750,17.5,26.25,24,630.0,18.0,4.75
INV-53993300012,2022-12-14,3707,TARGET STORE T-1768 / CEDAR RAPIDS,1030 BLAIRS FERRY RD,CEDAR RAPIDS,52402.0,POINT(-91.65109 42.03521),,LINN,1011200,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19476,MAKERS MARK,12,750,18.0,27.0,24,648.0,18.0,4.75
INV-38444900083,2021-07-19,2614,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807.0,POINT(-90.548919 41.556781),82,SCOTT,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19476,MAKERS MARK,12,750,17.5,26.25,24,630.0,18.0,4.75
INV-45769000001,2022-03-21,5359,FAREWAY STORES #168/ PEOSTA,8400 NICC DRIVE,PEOSTA,52068.0,,31,DUBUQUE,1011200.0,STRAIGHT BOURBON WHISKIES,85,BROWN FORMAN CORP.,20366,OLD FORESTER BOURBON 86PRF,12,750,11.5,17.25,24,393.12,18.0,4.75
INV-53080700037,2022-11-16,3773,BENZ DISTRIBUTING,501 7TH AVE SE,CEDAR RAPIDS,52401.0,POINT(-91.65989 41.97575),,LINN,1011200,STRAIGHT BOURBON WHISKIES,85,BROWN FORMAN CORP.,20366,OLD FORESTER BOURBON 86PRF,12,750,11.5,17.25,24,414.0,18.0,4.75
INV-55278600027,2023-01-25,2285,JOHN'S GROCERY,401 EAST MARKET ST,IOWA CITY,52240,POINT(-91.52984 41.6636),,JOHNSON,1011200.0,STRAIGHT BOURBON WHISKIES,85,BROWN FORMAN CORP.,20366,OLD FORESTER BOURBON 86PRF,12,750,11.5,17.25,24,414.0,18.0,4.75
INV-33653800015,2021-01-21,2106,HILLSTREET NEWS AND TOBACCO,2217 COLLEGE,CEDAR FALLS,50613.0,POINT(-92.455796 42.517182),7,BLACK HAWK,1011200.0,STRAIGHT BOURBON WHISKIES,55.0,SAZERAC NORTH AMERICA,20536,KENTUCKY TAVERN,12,750,4.25,6.38,24,153.12,18.0,4.75
INV-27908000019,2020-06-11,4129,CYCLONE LIQUORS,626 LINCOLN WAY,AMES,50010.0,POINT(-93.618911 42.022854),85,STORY,1011500.0,BOTTLED IN BOND BOURBON,65.0,JIM BEAM BRANDS,20920,OLD TUB,12,750,11.0,16.5,24,396.0,18.0,4.75
INV-32871200015,2020-12-21,2618,HY-VEE DRUGSTORE #6 / CEDAR RAPIDS,505 BOYSON RD NE,CEDAR RAPIDS,52402.0,POINT(-91.63913 42.04671),57,LINN,1011200.0,STRAIGHT BOURBON WHISKIES,434,LUXCO INC,21215,REBEL YELL KSBW 100PRF,6,750,10.0,15.0,24,360.0,18.0,4.75
INV-60013900008,2023-07-05,4196,FAREWAY STORES #987 / DAVENPORT,1635 WEST 53RD ST,DAVENPORT,52806.0,POINT(-90.598528027 41.573777991),,SCOTT,1011200.0,STRAIGHT BOURBON WHISKIES,421,SAZERAC COMPANY  INC,21806,VERY OLD BARTON 6YR 100PRF,12,750,8.0,12.0,24,288.0,18.0,4.75
INV-24544100021,2020-01-14,2651,HY-VEE / WAVERLY,1311 4 STREET SW,WAVERLY,50677.0,POINT(-92.475403 42.712263),9,BREMER,1011200.0,STRAIGHT BOURBON WHISKIES,619,CAMPARI AMERICA,22156,WILD TURKEY 101,12,750,14.0,21.0,24,504.0,18.0,4.75
INV-25323400015,2020-02-19,2620,HY-VEE / WINDSOR HEIGHTS,7101 UNIVERSITY AVE,WINDSOR HEIGHTS,50311,,77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,619,CAMPARI AMERICA,22156,WILD TURKEY 101,12,750,14.0,21.0,24,504.0,18.0,4.75
INV-34022400087,2021-02-03,2517,HY-VEE FOOD STORE #1 / NEWTON,1501 FIRST AVENUE EAST,NEWTON,50208.0,POINT(-93.034296 41.69916),50,JASPER,1011200.0,STRAIGHT BOURBON WHISKIES,619.0,CAMPARI AMERICA,22156,WILD TURKEY 101,12,750,14.0,21.0,24,504.0,18.0,4.75
INV-54431600009,2022-12-28,2191,KEOKUK SPIRITS,1013 MAIN,KEOKUK,52632.0,POINT(-91.38774 40.40001),,LEE,1011200,STRAIGHT BOURBON WHISKIES,85,BROWN FORMAN CORP.,22215,WOODFORD RESERVE,12,750,23.0,34.5,24,828.0,18.0,4.75
INV-49233800023,2022-07-15,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT(-93.61374 41.605828),77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,85,BROWN FORMAN CORP.,22215,WOODFORD RESERVE,12,750,23.0,34.5,24,828.0,18.0,4.75
INV-37111700127,2021-06-02,2544,HY-VEE FOOD STORE / MARSHALLTOWN,802 SOUTH CENTER,MARSHALLTOWN,50158.0,POINT(-92.912817 42.039205),64,MARSHALL,1011200.0,STRAIGHT BOURBON WHISKIES,85,BROWN FORMAN CORP.,22215,WOODFORD RESERVE,12,750,22.49,33.74,24,809.76,18.0,4.75
INV-55580100009,2023-02-06,2561,HY-VEE FOOD STORE (1148) / FLEUR / DSM,4605 FLEUR DRIVE,DES MOINES,50321.0,POINT(-93.64495 41.54275),,POLK,1011200,STRAIGHT BOURBON WHISKIES,434,LUXCO INC,22244,YELLOWSTONE SELECT,6,750,20.0,30.0,24,720.0,18.0,4.75
INV-62468000014,2023-09-20,2648,HY-VEE #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,POINT(-93.774831041 41.561127981),,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,434,LUXCO INC,22244,YELLOWSTONE SELECT,6,750,20.0,30.0,24,720.0,18.0,4.75
INV-19711900018,2019-05-31,4997,DOWNTOWN PANTRY,"218, 6TH AVE #101",DES MOINES,50309,POINT(-93.62452 41.585651),77,POLK,1011100.0,BLENDED WHISKIES,65,JIM BEAM BRANDS,22784,BEAM'S 8 STAR BL WHISKEY,24,375,2.09,3.14,48,150.72,18.0,4.75
INV-36142800007,2021-04-27,4944,JIFFY EXPRESS / MARTENSDALE,"290, HWY 28",MARTENSDALE,50160.0,POINT(-93.737459 41.373366),64,MARSHALL,1011100.0,BLENDED WHISKIES,65.0,JIM BEAM BRANDS,22784,BEAMS 8 STAR BL WHISKEY,24,375,2.09,3.14,48,150.72,18.0,4.75
INV-50844700001,2022-08-31,4993,SITE FOOD MART,"1301, MAIN ST",KEOKUK,52632,POINT(-91.390063 40.402224),,LEE,1011100.0,BLENDED WHISKIES,297,LAIRD & COMPANY,23626,FIVE STAR PET,12,750,3.99,5.99,24,143.76,18.0,4.75
INV-21587400015,2019-08-29,2130,SYCAMORE CONVENIENCE,617 SYCAMORE,WATERLOO,50703,POINT(-92.335358 42.497854),7,BLACK HAWK,1011100.0,BLENDED WHISKIES,297.0,LAIRD & COMPANY,23626,FIVE STAR PET,12,750,3.5,5.25,24,126.0,18.0,4.75
INV-24945400016,2020-01-31,4876,QUICK MART / HIAWATHA,"655, ROBBINS RD",HIAWATHA,52233.0,POINT(-91.672961 42.044452),57,LINN,1011100.0,BLENDED WHISKIES,297,LAIRD & COMPANY,23626,FIVE STAR PET,12,750,3.5,5.25,24,126.0,18.0,4.75
INV-20870100058,2019-07-26,4180,SMOKIN' JOE'S #10 TOBACCO AND LIQUOR OUTLET,480 7TH AVE,MARION,52302,POINT(-91.605094 42.033366),57,LINN,1011100.0,BLENDED WHISKIES,297,LAIRD & COMPANY,23626,FIVE STAR PET,12,750,3.5,5.25,24,126.0,18.0,4.75
INV-38240500009,2021-07-12,2509,HY-VEE / DRUGTOWN #1 / CEDAR RAPIDS,1520 6TH ST SW,CEDAR RAPIDS,52404.0,POINT(-91.67706 41.962419),57,LINN,1011100.0,BLENDED WHISKIES,297,LAIRD & COMPANY,23626,FIVE STAR PET,12,750,3.5,5.25,24,126.0,18.0,4.75
INV-25239300126,2020-02-14,2560,HY-VEE FOOD STORE / MARION,3600 BUSINESS HWY 151 EAST,MARION,52302,,57,LINN,1011100.0,BLENDED WHISKIES,297,LAIRD & COMPANY,23626,FIVE STAR PET,12,750,3.5,5.25,24,126.0,18.0,4.75
INV-43754900017,2022-01-13,2130,SYCAMORE CONVENIENCE,617 SYCAMORE,WATERLOO,50703.0,POINT(-92.335358 42.497854),7,BLACK HAWK,1011100.0,BLENDED WHISKIES,297,LAIRD & COMPANY,23626,FIVE STAR PET,12,750,3.5,5.25,24,126.0,18.0,4.75
INV-56091000021,2023-02-22,5636,BIG DISCOUNT LIQUOR,5427  CENTER POINT RD,CEDAR RAPIDS,52402.0,POINT(-91.66808 42.03348),,LINN,1011100,BLENDED WHISKIES,297,LAIRD & COMPANY,23824,FIVE STAR,24,375,2.09,3.14,48,150.72,18.0,4.75
INV-52050200033,2022-10-12,5374,IOWA LIQUOR & TOBACCO,1021 EAST MAIN STREET,OTTUMWA,52501,POINT(-92.400693 41.010401),,WAPELLO,1011100.0,BLENDED WHISKIES,297,LAIRD & COMPANY,23824,FIVE STAR,24,375,2.09,3.14,48,150.72,18.0,4.75
INV-18773600030,2019-04-15,5482,IOWA MINI MART,234 W 3RD ST,DAVENPORT,52801,POINT(-90.576054 41.522413),82,SCOTT,1011100.0,BLENDED WHISKIES,297,LAIRD & COMPANY,23824,FIVE STAR,24,375,2.09,3.14,48,150.72,18.0,4.75
INV-50390800007,2022-08-17,6328,BEST DEALS / RAYMOND,101 COMMERCIAL STREET,RAYMOND,50667,POINT(-92.219401 42.466286),,BLACK HAWK,1011100.0,BLENDED WHISKIES,297,LAIRD & COMPANY,23826,FIVE STAR,12,750,3.99,5.99,24,143.76,18.0,4.75
INV-19453700012,2019-05-20,2568,HY-VEE FOOD STORE #4 / CEDAR RAPIDS,1556 FIRST AVENUE NE,CEDAR RAPIDS,52402,POINT(-91.650755 41.988967),57,LINN,1011100.0,BLENDED WHISKIES,297,LAIRD & COMPANY,23826,FIVE STAR,12,750,3.5,5.25,24,126.0,18.0,4.75
INV-17818500150,2019-02-27,2614,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807.0,POINT(-90.548919 41.556781),82,SCOTT,1011100.0,BLENDED WHISKIES,434.0,LUXCO INC,24156,HAWKEYE BLENDED WHISKEY,12,750,3.5,5.25,24,126.0,18.0,4.75
INV-25065700013,2020-02-06,4795,WALGREENS #00359 / DES MOINES,2545 E EUCLID AVE,DES MOINES,50317,POINT(-93.568668 41.627702),77,POLK,1011100.0,BLENDED WHISKIES,300,MCCORMICK DISTILLING CO.,24706,MCCORMICK BLEND WHISKEY,12,750,4.09,6.14,24,147.36,18.0,4.75
INV-27406100007,2020-05-21,4795,WALGREENS #00359 / DES MOINES,2545 E EUCLID AVE,DES MOINES,50317.0,POINT(-93.568668 41.627702),77,POLK,1011100.0,BLENDED WHISKIES,300.0,MCCORMICK DISTILLING CO.,24706,MCCORMICK BLEND WHISKEY,12,750,4.09,6.14,24,147.36,18.0,4.75
INV-44181200006,2022-01-27,4660,HILL BROTHERS JIFFY MART / CEDAR RAPIDS,"1904, MT VERNON RD SE",CEDAR RAPIDS,52403.0,POINT(-91.642557 41.977226),57,LINN,1011100.0,BLENDED WHISKIES,260,DIAGEO AMERICAS,25604,SEAGRAMS 7 CROWN,12,375,3.5,5.25,48,252.0,18.0,4.75
INV-53693800007,2022-12-06,9001,CEDAR RIDGE VINEYARDS,1441 MARAK RD NW,SWISHER,52338.0,POINT(-91.67744 41.83213),,JOHNSON,1012300,SINGLE MALT SCOTCH,125,CEDAR RIDGE VINEYARDS LL,26474,CEDAR RIDGE QUINTESSENTIAL AMERICAN SINGLE MALT,6,750,29.84,44.76,24,1074.24,18.0,4.75
INV-54966200005,2023-01-16,6242,WALL TO WALL WINE AND SPIRITS / WEST DES MOINES,375 SOUTH JORDAN CREEK PARKWAY,WEST DES MOINES,50266,POINT(-93.80947 41.56373),,DALLAS,1011600.0,STRAIGHT RYE WHISKIES,259,HEAVEN HILL BRANDS,26555,ELIJAH CRAIG RYE,6,750,17.5,26.25,24,630.0,18.0,4.75
INV-31113400012,2020-10-16,4720,CHARITON BP,"107, EAST GRACE",CHARITON,50049.0,POINT(-93.293312 41.005258),59,LUCAS,1011400.0,TENNESSEE WHISKIES,260,DIAGEO AMERICAS,26656,GEORGE DICKEL #12,12,750,13.5,20.25,24,486.0,18.0,4.75
INV-37852500001,2021-06-28,5462,7STAR LIQUOR & TOBACCO OUTLET,502 E AVE NW,CEDAR RAPIDS,52405.0,POINT(-91.680323 41.977958),57,LINN,1011400.0,TENNESSEE WHISKIES,85,BROWN FORMAN CORP.,26820,JACK DANIELS OLD #7 BLACK LABEL FLAT,24,375,7.5,11.25,48,540.0,18.0,4.75
INV-29640500093,2020-08-21,2558,HY-VEE FOOD STORE / MOUNT PLEASANT,1700 E WASHINGTON,MOUNT PLEASANT,52641.0,POINT(-91.52888 40.962331),44,HENRY,1011400.0,TENNESSEE WHISKIES,85,BROWN FORMAN CORP.,26826,JACK DANIELS OLD #7 BLACK LABEL,12,750,15.57,23.36,24,560.64,18.0,4.75
INV-34600800011,2021-02-25,3757,WAL-MART 3590 / SIOUX CITY,3101 FLOYD BLVD,SIOUX CITY,51108.0,POINT(-96.37287 42.530454),97,WOODBURY,1011400.0,TENNESSEE WHISKIES,85.0,BROWN FORMAN CORP.,26826,JACK DANIELS OLD #7 BLACK LABEL,12,750,15.57,23.36,24,560.64,18.0,4.75
INV-40121000019,2021-09-15,4236,FAREWAY STORES #551 / EAGLE GROVE,205 NW  1ST ST,EAGLE GROVE,50533.0,POINT(-93.903801 42.665165),99,WRIGHT,1011400.0,TENNESSEE WHISKIES,85,BROWN FORMAN CORP.,26826,JACK DANIELS OLD #7 BLACK LABEL,12,750,15.57,23.36,24,560.64,18.0,4.75
INV-15180200008,2018-10-22,2575,HY-VEE FOOD STORE #1 / WATERLOO,2834 ANSBOROUGH AVE,WATERLOO,50702.0,POINT(-92.376624 42.471767),7,BLACK HAWK,1011400.0,TENNESSEE WHISKIES,85.0,BROWN FORMAN CORP.,26826,JACK DANIELS OLD #7 BLACK LBL,12,750,15.57,23.36,24,560.64,18.0,4.75
INV-40944700012,2021-10-13,2191,KEOKUK SPIRITS,1013 MAIN,KEOKUK,52632.0,POINT(-91.387797 40.400038),56,LEE,1011400.0,TENNESSEE WHISKIES,85.0,BROWN FORMAN CORP.,26826,JACK DANIELS OLD #7 BLACK LABEL,12,750,15.57,23.36,24,560.64,18.0,4.75
INV-59765600014,2023-06-27,2666,HY-VEE FOOD STORE #2 / STATE ANKENY,2510 SW STATE ST,ANKENY,50023.0,POINT(-93.623933985 41.705033985),,POLK,1011400.0,TENNESSEE WHISKIES,85,BROWN FORMAN CORP.,26826,JACK DANIELS OLD #7 BLACK LABEL,12,750,15.91,23.87,24,572.88,18.0,4.75
INV-54617200006,2023-01-04,6008,TARGET STORE T-3374 / IOWA CITY,113 E WASHINGTON ST,IOWA CITY,52240,POINT(-91.53395 41.66008),,JOHNSON,1011400.0,TENNESSEE WHISKIES,85,BROWN FORMAN CORP.,26826,JACK DANIELS OLD #7 BLACK LABEL,12,750,15.91,23.87,24,572.88,18.0,4.75
INV-59914100013,2023-06-30,5607,CASEY'S GENERAL STORE #3294 / URBANA,5350 31ST AVE,URBANA,52345.0,POINT(-91.889529038 42.2465789840001),,BENTON,1011400.0,TENNESSEE WHISKIES,85,BROWN FORMAN CORP.,26826,JACK DANIELS OLD #7 BLACK LABEL,12,750,15.91,23.87,24,572.88,18.0,4.75
INV-20976100041,2019-08-01,3385,SAM'S CLUB 8162 / CEDAR RAPIDS,2605 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT(-91.67969 42.031819),57,LINN,1011600.0,STRAIGHT RYE WHISKIES,260.0,DIAGEO AMERICAS,27025,BULLEIT 95 RYE,12,750,16.5,24.75,24,594.0,18.0,4.75
INV-53506500040,2022-11-30,2536,HY-VEE / PLEASANT HILL,4815 MAPLE DRIVE,PLEASANT HILL,50317.0,POINT(-93.51874 41.59714),,POLK,1011600,STRAIGHT RYE WHISKIES,260,DIAGEO AMERICAS,27025,BULLEIT 95 RYE,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-25022500055,2020-02-04,2623,HY-VEE FOOD STORE #4 / SIOUX CITY,2827 HAMILTON BLVD,SIOUX CITY,51104,POINT(-96.417783 42.519886),97,WOODBURY,1011600.0,STRAIGHT RYE WHISKIES,65,JIM BEAM BRANDS,27056,JIM BEAM RYE,12,750,13.5,20.25,24,486.0,18.0,4.75
INV-29165300047,2020-08-03,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314.0,POINT(-93.613739 41.60572),77,POLK,1011600.0,STRAIGHT RYE WHISKIES,65,JIM BEAM BRANDS,27066,OLD OVERHOLT RYE,12,750,11.54,17.31,24,415.44,18.0,4.75
INV-25590700050,2020-03-03,3494,SAM'S CLUB 6514 / WATERLOO,210 EAST TOWER PARK DR,WATERLOO,50702.0,POINT(-92.353103 42.456374),7,BLACK HAWK,1011600.0,STRAIGHT RYE WHISKIES,255,INFINIUM SPIRITS,27125,TEMPLETON 6YR RYE,6,750,22.75,34.13,24,819.12,18.0,4.75
INV-32486700005,2020-12-07,2524,HY-VEE FOOD STORE / DUBUQUE,3500 DODGE ST,DUBUQUE,52001.0,,31,DUBUQUE,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,JIM BEAM BRANDS,27392,JIM BEAM MAPLE,12,750,10.5,15.75,24,378.0,18.0,4.75
