invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-61338500002,2023-08-17,2621,HY-VEE FOOD STORE #3 / SIOUX CITY,3301 GORDON DR,SIOUX CITY,51105,POINT(-96.362866022 42.488984001),,WOODBURY,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10802,CROWN ROYAL PEACH,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-51909100004,2022-10-07,2658,HY-VEE FOOD STORE / MOUNT AYR,201 N FILLMORE ST,MOUNT AYR,50854,POINT(-94.238795 40.715937),,RINGGOLD,1701100.0,TEMPORARY & SPECIALTY PACKAGES,260,DIAGEO AMERICAS,10802,CROWN ROYAL PEACH,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-55253600010,2023-01-24,2623,HY-VEE FOOD STORE #4 / SIOUX CITY,2827 HAMILTON BLVD,SIOUX CITY,51104,POINT(-96.41781 42.51984),,WOODBURY,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10802,CROWN ROYAL PEACH,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-19732200091,2019-05-31,3833,WAL-MART 3394 / ATLANTIC,1905 EAST 7TH ST,ATLANTIC,50022,POINT(-94.98571 41.403853),15,CASS,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,300,7.35,11.03,60,661.8,18.0,4.75
INV-24020900011,2019-12-18,5353,NEW STAR / PELLA,977 198TH PL.,PELLA,50219,POINT(-92.953534 41.381055),63,MARION,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10805,CROWN ROYAL REGAL APPLE,24,375,8.0,12.0,48,576.0,18.0,4.75
INV-19707800004,2019-05-31,4091,FAREWAY STORES #705 / CLEAR LAKE,910 HWY 18 W,CLEAR LAKE,50428,POINT(-93.613385 43.105949),17,CERRO GORDO,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-24489000007,2020-01-10,4944,JIFFY EXPRESS / MARTENSDALE,"290, HWY 28",MARTENSDALE,50160.0,POINT(-93.737459 41.373366),64,MARSHALL,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-24803800103,2020-01-27,2527,HY-VEE FOOD STORE #5 / DES MOINES,1107 SE ARMY POST RD,DES MOINES,50315.0,POINT(-93.602372 41.526289),77,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-52783500017,2022-11-04,2606,HY-VEE WINE AND SPIRITS / HUMBOLDT,1011  13TH ST NORTH,HUMBOLDT,50548.0,POINT(-94.22713 42.73326),,HUMBOLDT,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-39741900013,2021-09-01,5916,ANOTHER ROUND / DEWITT,622 S 6TH AVE,DEWITT,52742.0,POINT(-90.539095 41.808535),23,CLINTON,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18.0,4.75
INV-58819600004,2023-05-26,2644,HY-VEE FORT DODGE WINE AND SPIRITS,1511 2ND AVE NORTH,FORT DODGE,50501.0,POINT(-94.1775684149999 42.5082341500001),,WEBSTER,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-34468800009,2021-02-19,3833,WAL-MART 3394 / ATLANTIC,1905 EAST 7TH ST,ATLANTIC,50022.0,POINT(-94.98571 41.403853),15,CASS,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-18133700004,2019-03-14,2106,HILLSTREET NEWS AND TOBACCO,2217 COLLEGE,CEDAR FALLS,50613,POINT(-92.455796 42.517182),7,BLACK HAWK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-33336900008,2021-01-11,2647,HY-VEE #7 / CEDAR RAPIDS,5050 EDGEWOOD RD,CEDAR RAPIDS,52411.0,POINT(-91.701581 42.030129),57,LINN,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-46077300008,2022-03-31,2478,PRAIRIE MEADOWS,ONE PRAIRIE MEADOWS DRIVE,ALTOONA,50009.0,,77,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,17.49,26.24,24,597.36,18.0,4.75
INV-35327600033,2021-03-25,2536,HY-VEE / PLEASANT HILL,4815 MAPLE DRIVE,PLEASANT HILL,50317.0,POINT(-93.519187 41.598109),77,POLK,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,561.36,18.0,4.75
INV-61852300003,2023-09-01,5443,1ST STOP BEVERAGE SHOP,2839 EAST UNIVERSITY AVE.,DES MOINES,50317,POINT(-93.561474976 41.600294016),,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-40262300007,2021-09-21,3997,WAL-MART 4606 / OSCEOLA,2400 COLLEGE DR,OSCEOLA,50213.0,POINT(-93.800214 41.024891),20,CLARKE,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18.0,4.75
INV-30074800005,2020-09-09,4197,FAREWAY STORES #014 / SERGEANT BLUFF,700  1ST ST,SERGEANT BLUFF,51054.0,POINT(-96.353078 42.400504),97,WOODBURY,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-40276100001,2021-09-21,5151,BREW IDA GROVE,"500, HWY 175",IDA GROVE,51445.0,,47,IDA,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18.0,4.75
INV-47801900002,2022-05-26,2666,HY-VEE FOOD STORE #2 / STATE ANKENY,2510 SW STATE ST,ANKENY,50023.0,POINT(-93.621928 41.705447),77,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-31499100010,2020-10-29,4907,PRIME MART / CEDAR FALLS,2323 MAIN ST,CEDAR FALLS,50613.0,POINT(-92.44586 42.516198),7,BLACK HAWK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-38362800034,2021-07-15,2594,HY-VEE FOOD STORE / SIOUX CITY,4500 SERGEANT ROAD,SIOUX CITY,51106.0,POINT(-96.346969 42.447396),97,WOODBURY,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18.0,4.75
INV-26131000001,2020-03-26,2528,HY-VEE FOOD STORE #3 / DES MOINES,3221 SE 14TH ST,DES MOINES,50315.0,,77,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-17652600027,2019-02-19,3625,WAL-MART 0892 / ANKENY,1002 SE NATIONAL DR,ANKENY,50021.0,POINT(-93.582348 41.704864),77,POLK,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-42030900014,2021-11-16,4192,FAREWAY STORES #044 / BETTENDORF,3800 BELMONT RD,BETTENDORF,52722.0,,82,SCOTT,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18.0,4.75
INV-38383500018,2021-07-15,3456,QUICK SHOP / CLEAR LAKE,904 N 8TH ST,CLEARLAKE,50428.0,POINT(-93.378772 43.142868),17,CERRO GORDO,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18.0,4.75
INV-41070000034,2021-10-18,6229,BEER THIRTY STORM LAKE / STORM LAKE,205 E 7TH STREET,STORM LAKE,50588.0,POINT(-95.198584 42.646794),11,BUENA VISTA,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,11294,CROWN ROYAL,24,375,8.0,12.0,48,576.0,18.0,4.75
INV-17995600027,2019-03-07,5530,YESWAY #1148 / MARSHALLTOWN,1701 IOWA AVE E,MARSHALLTOWN,50158,POINT(-92.88592 42.006852),64,MARSHALL,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11294,CROWN ROYAL,24,375,8.0,12.0,48,576.0,18.0,4.75
INV-13814000011,2018-08-13,2629,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,1745 MADISON AVE,COUNCIL BLUFFS,51503.0,POINT(-95.825137 41.242732),78,POTTAWATTAMIE,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-31821100006,2020-11-10,5171,GARY'S LIQUOR & WINE LTD,"110, E JEFFERSON ST",DELAWARE,52036.0,POINT(-91.344117 42.473764),28,DELAWARE,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-28692200011,2020-07-14,2665,HY-VEE / WAUKEE,1005 E HICKMAN RD,WAUKEE,50263,POINT(-93.854477 41.615059),25,DALLAS,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-40056200074,2021-09-14,2603,HY-VEE WINE AND SPIRITS / BETTENDORF,2890 DEVILS GLEN ROAD,BETTENDORF,52722.0,POINT(-90.483701 41.552338),82,SCOTT,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,16.59,24.89,24,597.36,18.0,4.75
INV-39939700024,2021-09-10,3769,WAL-MART 0753 / CEDAR FALL,525 BRANDILYNN BLVD,CEDAR FALLS,50613.0,POINT(-92.440394 42.485042),7,BLACK HAWK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,16.59,24.89,24,597.36,18.0,4.75
INV-46285000016,2022-04-07,2536,HY-VEE / PLEASANT HILL,4815 MAPLE DRIVE,PLEASANT HILL,50317,POINT(-93.519491 41.598133),77,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-31222000003,2020-10-21,3789,WAL-MART 1393 / OSKALOOSA,2203 A AVENUE WEST,OSKALOOSA,52577.0,POINT(-92.669924 41.298516),62,MAHASKA,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-48949100046,2022-07-06,2550,HY-VEE FOOD STORE / OSCEOLA,510 WEST MCLANE,OSCEOLA,50213,POINT(-93.77321 41.030569),20,CLARKE,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,17.49,26.24,24,629.76,18.0,4.75
