Дата,Магазин,Код_товара,Количество,Сумма
2020-12-24,HY-VEE WINE AND SPIRITS / BETTENDORF,INV-32992000128,24,756.0
2021-01-05,MARSHALL BEER WINE SPIRITS,INV-33208600014,24,119.28
2021-01-11,HY-VEE #7 / CEDAR RAPIDS,INV-33336900008,24,561.36
2021-01-15,CASH SAVER  /  FLEUR,INV-33481700033,24,188.4
2021-01-19,WAL-MART 1241 / DAVENPORT,INV-33570700002,24,561.36
2021-01-19,HY-VEE FOOD STORE #2 / STATE ANKENY,INV-33570100022,24,594.0
2021-01-21,HILLSTREET NEWS AND TOBACCO,INV-33653800015,24,153.12
2021-02-03,HY-VEE FOOD STORE #1 / NEWTON,INV-34022400087,24,504.0
2021-02-03,HY-VEE DRUGSTORE / OTTUMWA,INV-34011300050,24,118.8
2021-02-05,SAM'S CLUB 4973 / DUBUQUE,INV-34062800045,24,504.0
2021-02-19,WAL-MART 3394 / ATLANTIC,INV-34468800009,24,561.36
2021-02-22,HY-VEE WINE AND SPIRITS / IOWA CITY,INV-34497300134,24,395.76
2021-02-25,WAL-MART 3590 / SIOUX CITY,INV-34600800011,24,560.64
2021-03-01,SMOKIN' JOE'S #15 TOBACCO AND LIQUOR OUTLET,INV-34665500011,24,121.44
2021-03-02,BREW COFFEE WINE SPIRIT AND CIGARS,INV-34695900025,24,251.76
2021-03-03,I-80 LIQUOR / COUNCIL BLUFFS,INV-34736200034,24,188.4
2021-03-04,WILKIE LIQUORS,INV-34763600004,24,188.4
2021-03-09,HY-VEE / WAVERLY,INV-34873200088,24,378.0
2021-03-09,PRIME MART 7 / WATERLOO,INV-34889000020,48,244.32
2021-03-11,FAREWAY STORES #554 / WASHINGTON,INV-34931300007,24,188.4
2021-03-15,GUPPY'S ON THE GO / WALFORD,INV-35037000008,24,188.4
2021-03-15,CENTRAL CITY 2,INV-35006500075,24,540.0
2021-03-23,HY-VEE FOOD STORE / URBANDALE,INV-35234100010,24,414.0
2021-03-25,HY-VEE / PLEASANT HILL,INV-35327600033,24,561.36
2021-03-25,SYCAMORE CONVENIENCE,INV-35310300027,18,614.34
2021-03-31,HY-VEE FOOD AND DRUG / GRAND / WDM,INV-35481200090,24,120.24
2021-04-01,FAREWAY STORES #138 / PLEASANT HILL,INV-35501300001,24,718.32
2021-04-15,CASEY'S GENERAL STORE #2319 / FT MADISON,INV-35826900002,48,133.92
2021-04-16,ROCSTOP,INV-35883700001,48,221.28
2021-04-21,HY-VEE FOOD AND DRUG / GRAND / WDM,INV-35994800017,24,120.24
2021-04-26,CENTRAL CITY 2,INV-36099500061,24,359.76
2021-04-27,JIFFY EXPRESS / MARTENSDALE,INV-36142800007,48,150.72
2021-04-29,HAPPY'S WINE & SPIRITS,INV-36216900061,18,614.34
2021-05-06,HY-VEE DRUGSTORE / UNIVERSITY / DSM,INV-36404500072,24,594.0
2021-05-07,WAL-MART 0886 / FORT DODGE,INV-36462000027,24,121.44
2021-05-20,HY-VEE FOOD STORE #3 / SIOUX CITY,INV-36806800008,24,188.4
2021-05-20,HY-VEE DRUGSTORE / UNIVERSITY / DSM,INV-36807300061,24,120.0
2021-05-25,WAL-MART 0647 / GRINNELL,INV-36949800014,24,119.28
2021-05-28,RICHMOND & FERRY BP,INV-37042500001,24,120.24
2021-06-02,HY-VEE FOOD STORE / MARSHALLTOWN,INV-37111700127,24,809.76
2021-06-05,CASEY'S GENERAL STORE #2790 / CEDAR RAPIDS,INV-37220800003,48,133.92
2021-06-14,CENTRAL CITY 2,INV-37450700091,24,408.0
2021-06-15,HY-VEE FOOD STORE #2 / STATE ANKENY,INV-37500500041,24,378.0
2021-06-17,YESWAY STORE # 10011/ MASON CITY,INV-37600400009,24,120.24
2021-06-22,HY-VEE / WAUKEE,INV-37698600076,24,630.0
2021-06-28,CASEY'S GENERAL STORE # 2774/AMANA,INV-37877300003,24,188.4
2021-06-28,7STAR LIQUOR & TOBACCO OUTLET,INV-37852500001,48,540.0
2021-07-07,I-80 LIQUOR / COUNCIL BLUFFS,INV-38130700007,24,378.0
2021-07-09,QUICK SHOP FOODS / CENTERVILLE,INV-38217000009,24,188.4
2021-07-12,HY-VEE / DRUGTOWN #1 / CEDAR RAPIDS,INV-38240500009,24,126.0
2021-07-15,HY-VEE FOOD STORE / SIOUX CITY,INV-38362800034,24,597.36
